,Name,Rating,Review,No_Of_employee,Company_type,Old,Headquarters
139,Kogta Financial India Limited,4.8,3k, 1k-5k Employees , Public , 28 years old , Jaipur +206 more
140,John Deere,4.2,2.9k, 5k-10k Employees , Fortune India 500 , 23 years old , Moline +119 more
141,Varun Beverages,4.0,2.9k, 5k-10k Employees , Public , 29 years old , Gurgaon/Gurugram +281 more
142,Godrej & Boyce Manufacturing,3.9,2.9k, 10k-50k Employees , Fortune India 500 , 127 years old , Mumbai +130 more
143,Persistent Systems,3.7,2.9k, 10k-50k Employees , Public , 34 years old , Pune +32 more
144,Randstad,3.9,2.9k, 5k-10k Employees , Conglomerate , 32 years old , Chennai +258 more
145,Thermax Limited,4.2,2.9k, 1k-5k Employees , Public , 58 years old , Pune +175 more
146,Hetero Drugs,3.8,2.8k, 1k-5k Employees , 31 years old , Hyderabad/Secunderabad +44 more,
147,Havells,4.0,2.8k, 5k-10k Employees , Public , 41 years old , Noida +178 more
148,Macleods Pharmaceuticals,3.6,2.8k, 10k-50k Employees , Public , 38 years old , Mumbai +98 more
149,Deutsche Bank,4.1,2.8k, 10k-50k Employees , Fortune India 500 , 154 years old , Frankfurt +37 more
150,CARS24,3.6,2.8k, 5k-10k Employees , Indian Unicorn , 9 years old , Gurgaon +150 more
151,Sodexo,4.1,2.8k, 10k-50k Employees , Forbes Global 2000 , 16 years old , Issy les Moulineaux +130 more
152,Subros,3.9,2.8k, 1k-5k Employees , Public , 39 years old , Noida +57 more
153,Team Lease,3.9,2.8k, 1k-5k Employees , Public , 8 years old , Bangalore/Bengaluru +300 more
154,Abbott Healthcare,4.1,2.8k, 10k-50k Employees , Public , 33 years old , Illinois City +170 more
155,Whitehat jr,3.1,2.8k, 5k-10k Employees , Startup , 6 years old , Mumbai +50 more
156,VE Commercial Vehicles,4.0,2.8k, 1k-5k Employees , 16 years old , Gurgaon/Gurugram +127 more,
157,Ford Motor,4.4,2.7k, 5k-10k Employees , Public , 121 years old , Dearborn +110 more
158,Indian Oil Corporation,4.4,2.7k, 10k-50k Employees , Fortune India 500 , 65 years old , Delhi/NCR +251 more
159,Tata Capital,4.1,2.7k, 5k-10k Employees , Fortune India 500 , 17 years old , Mumbai +227 more
160,Cgi Group,4.1,2.7k, 10k-50k Employees , Forbes Global 2000 , 48 years old , Montreal +25 more
161,Automatic Data Processing (ADP),4.0,2.7k, 1k-5k Employees , Forbes Global 2000 , 75 years old , New Jersey +24 more
162,Bharat Electronics,4.1,2.7k, 5k-10k Employees , Fortune India 500 , 70 years old , Bangalore/Bengaluru +47 more
163,Standard Chartered Bank,3.8,2.7k, 10k-50k Employees , Fortune India 500 , 55 years old , London +57 more
164,American Express,4.2,2.7k, 10k-50k Employees , Forbes Global 2000 , 174 years old , New York City +44 more
165,Alembic Pharmaceuticals,4.0,2.7k, 10k-50k Employees , Public , 117 years old , Vadodara/Baroda +148 more
166,R1 RCM,3.9,2.7k, 5k-10k Employees , 17 years old , Murray +32 more,
167,Access Healthcare,3.9,2.7k, 5k-10k Employees , 13 years old , Dallas +30 more,
168,Pidilite Industries,4.4,2.7k, 5k-10k Employees , Public , 65 years old , Mumbai +235 more
169,UnitedHealth,4.0,2.7k, 10k-50k Employees , Forbes Global 2000 , 47 years old , Minnetonka +15 more
170,Tata AIA Life Insurance,4.1,2.6k, 10k-50k Employees , 23 years old , Mumbai +321 more,
171,ITC Infotech,3.6,2.6k, 10k-50k Employees , 24 years old , Bangalore/Bengaluru +51 more,
172,Publicis Sapient,3.4,2.6k, 10k-50k Employees , 34 years old , New York +26 more,
173,Hindalco Industries,4.2,2.6k, 10k-50k Employees , Public , 66 years old , Mumbai +86 more
174,Alkem Laboratories,3.8,2.6k, 10k-50k Employees , Public , 51 years old , Mumbai +157 more
175,Atos,3.7,2.6k, 10k-50k Employees , Forbes Global 2000 , 27 years old , Vilnius +41 more
176,DCB Bank,3.8,2.6k, 5k-10k Employees , Fortune India 500 , 94 years old , Mumbai +303 more
177,Aakash Educational Services,3.5,2.6k, 5k-10k Employees , 36 years old , New Delhi +203 more,
178,Hindustan Coca Cola Beverages,4.2,2.6k, 5k-10k Employees , 27 years old , Bangalore +213 more,
179,Indian Air Force,4.7,2.6k, 1 Lakh+ Employees , 92 years old , New Delhi +111 more,
180,Utkarsh Small Finance Bank,3.8,2.6k, 10k-50k Employees , Public , 15 years old , Varanasi +292 more
181,Vishal Mega Mart,3.6,2.6k, 10k-50k Employees , 16 years old , Gurgaon/Gurugram +316 more,
182,Glenmark Pharmaceuticals,3.9,2.5k, 10k-50k Employees , Public , 47 years old , Mumbai +139 more
183,Barclays,4.0,2.5k, 10k-50k Employees , Forbes Global 2000 , 334 years old , London +31 more
184,Ipca Laboratories,3.9,2.5k, 10k-50k Employees , Public , 75 years old , Mumbai +124 more
185,Berger Paints,3.6,2.5k, 1k-5k Employees , Public , 101 years old , Kolkata +243 more
186,Maersk,4.3,2.5k, 10k-50k Employees , 120 years old , Copenhagen +35 more,
187,Jindal Steel and Power,3.8,2.5k, 5k-10k Employees , Fortune India 500 , 45 years old , Delhi/NCR +116 more
188,ABB Group,4.1,2.5k, 1k-5k Employees , Public , 36 years old , Zurich +96 more
189,Bank of America,4.4,2.5k, 10k-50k Employees , Fortune India 500 , 26 years old , Charlotte +30 more
190,Wipro Infotech,4.1,2.5k, 1 Lakh+ Employees (Global) , MNC , 79 years old , Bangalore +117 more
191,DTDC Express,3.6,2.5k, 1k-5k Employees , 34 years old , Bangalore/Bengaluru +227 more,
192,Marpu Foundation,4.9,2.5k, 51-200 Employees , 8 years old , Hyderabad/Secunderabad +53 more,
193,Aarti Industries,4.1,2.5k, 5k-10k Employees , Public , 49 years old , Mumbai +42 more
194,24/7 Customer,3.6,2.5k, 5k-10k Employees , 24 years old , San Jose +25 more,
195,Honda Motorcycle & Scooter,4.1,2.5k, 10k-50k Employees , 25 years old , Gurgaon/Gurugram +213 more,
196,NatWest Group,4.1,2.4k, 10k-50k Employees , Forbes Global 2000 , Gurgaon / Gurugram +22 more,
197,HDFC Ergo General Insurance,4.0,2.4k, 10k-50k Employees , Public , 22 years old , Mumbai +230 more
198,CMS IT Services,3.0,2.4k, 5k-10k Employees , Startup , 10 years old , Bangalore +137 more
199,Johnson Controls,3.8,2.4k, 5k-10k Employees , Public , 139 years old , Cork +48 more
200,Carelon Global Solutions,4.0,2.4k, 10k-50k Employees , Hyderabad / Secunderabad +12 more,,
201,Reliance Nippon Life Insurance,3.8,2.4k, 10k-50k Employees , 24 years old , Mumbai +430 more,
202,MRF Tyres,3.6,2.4k, 10k-50k Employees , Public , 78 years old , Chennai +163 more
203,RBL Bank,3.7,2.4k, 10k-50k Employees , Public , 81 years old , Mumbai +221 more
204,PolicyBazaar,3.4,2.4k, 10k-50k Employees , Public , 16 years old , Gurgaon +87 more
205,Cogent E Services,3.3,2.4k, 10k-50k Employees , Conglomerate , 20 years old , Noida +35 more
206,Wipro Consumer Care & Lighting,3.9,2.4k, 1k-5k Employees , 79 years old , Bangalore/Bengaluru +95 more,
207,PNB MetLife,3.3,2.4k, 5k-10k Employees , Conglomerate , 23 years old , Mumbai +322 more
208,Paras Hospital,4.6,2.4k, 1k-5k Employees , 18 years old , Gurgaon/Gurugram +45 more,
209,Reliance Digital,4.2,2.4k, 5k-10k Employees , 17 years old , Mumbai +306 more,
210,Ceat Tyres,4.0,2.4k, 5k-10k Employees , Public , 66 years old , Mumbai +113 more
211,GeBBS Healthcare Solutions,3.6,2.4k, 5k-10k Employees , 19 years old , Culver City +18 more,
212,Axis Direct,4.0,2.4k, 1k-5k Employees , 13 years old , San Mateo +271 more,
213,Kotak Mahindara Life Insurance,3.8,2.4k, 10k-50k Employees , Public , 23 years old , Mumbai +210 more
214,Jubilant Foods Works,3.9,2.4k, 10k-50k Employees , Public , 29 years old , Noida +191 more
215,Dabur,3.7,2.4k, 5k-10k Employees , Public , 140 years old , Ghaziabad +248 more
216,Conduent,3.5,2.4k, 5k-10k Employees , 7 years old , Florham Park +21 more,
217,JK Cement,4.1,2.3k, 1k-5k Employees , Public , 50 years old , Gurgaon/Gurugram +235 more
218,Shoppers Stop,4.0,2.3k, 5k-10k Employees , Public , 33 years old , Mumbai +62 more
219,IndiGo,3.5,2.3k, 10k-50k Employees , Fortune India 500 , 19 years old , Gurgaon/Gurugram +89 more
220,Synechron,3.8,2.3k, 5k-10k Employees , 23 years old , New York +26 more,
221,ACC,3.8,2.3k, 5k-10k Employees , Public , 88 years old , Mumbai +212 more
222,HARMAN,3.7,2.3k, 5k-10k Employees , Public , 15 years old , Stamford +28 more
223,GATI-KWE,3.9,2.3k, 1k-5k Employees , 12 years old , Hyderabad/Secunderabad +157 more,
224,Birlasoft,3.7,2.3k, 10k-50k Employees , Public , 29 years old , Pune +34 more
225,Indiabulls Home Loans,3.8,2.3k, 5k-10k Employees , Public , 19 years old , Gurgaon/Gurugram +188 more
226,Reliance SMSL,3.9,2.3k, 1k-5k Employees , Public , 17 years old , Mumbai +482 more
227,ArcelorMittal Nippon Steel,3.9,2.3k, 5k-10k Employees , Conglomerate , Surat +66 more,
228,Lenskart,3.2,2.3k, 5k-10k Employees , Indian Unicorn , 14 years old , Faridabad +161 more
229,PepsiCo,4.1,2.3k, 1 Lakh+ Employees , Forbes Global 2000 , 35 years old , Harrison +227 more
230,S&P Global,4.2,2.3k, 10k-50k Employees , Public , 107 years old , New York City +25 more
231,KPIT Technologies,3.6,2.3k, 5k-10k Employees , Public , 34 years old , Pune +32 more
232,Torrent Pharmaceuticals,3.9,2.2k, 10k-50k Employees , Public , 53 years old , Ahmedabad +98 more
233,UPL,4.0,2.2k, 5k-10k Employees , Public , 55 years old , Mumbai +155 more
234,RSPL Group,4.1,2.2k, 10k-50k Employees , 37 years old , Mumbai +202 more,
235,AGS Health,4.0,2.2k, 10k-50k Employees , 13 years old , Washington DC +38 more,
