,Name,Rating,Review,No_Of_employee,Company_type,Old,Headquarters
300,Yazaki,3.7,1.9k, 10k-50k Employees , 83 years old , Tokyo +66 more,
301,Himalaya Wellness,4.1,1.9k, 5k-10k Employees , 94 years old , San Francisco +195 more,
302,Lifestyle,4.4,1.8k, 10k-50k Employees , Fortune India 500 , 25 years old , Bangalore/Bengaluru +109 more
303,Dalmia Bharat Cement,3.9,1.8k, 5k-10k Employees , Public , 89 years old , Delhi/NCR +204 more
304,Quest Global,3.6,1.8k, 10k-50k Employees , 27 years old , Singapore +32 more,
305,Eureka Forbes,3.7,1.8k, 1k-5k Employees , 42 years old , Mumbai +160 more,
306,Ajanta Pharma,4.1,1.8k, 5k-10k Employees , Public , 51 years old , Mumbai +96 more
307,IKS Health,3.6,1.8k, 5k-10k Employees , 17 years old , Mumbai +16 more,
308,Extramarks Education,3.3,1.8k, 1k-5k Employees , 17 years old , Noida +102 more,
309,ACT Fibernet,4.1,1.8k, 5k-10k Employees , 16 years old , Bengaluru/Bangalore +41 more,
310,Aditya Birla Group,4.1,1.8k, 1 Lakh+ Employees , Conglomerate , 167 years old , Mumbai +217 more
311,Blue Star,4.1,1.8k, 1k-5k Employees , Public , 81 years old , Mumbai +130 more
312,XpressBees,3.7,1.8k, 5k-10k Employees , Indian Unicorn , 9 years old , Pune +231 more
313,Mahindra Rural Housing Finance,4.1,1.8k, 10k-50k Employees , Public , 17 years old , Mumbai +406 more
314,Nokia Networks,4.3,1.8k, 501-1k Employees , Chennai +83 more,,
315,Cholamandalam MS General Insurance,3.9,1.8k, 1k-5k Employees , 23 years old , Chennai +328 more,
316,Life Insurance Corporation of India,4.3,1.8k, 1 Lakh+ Employees , Fortune India 500 , 68 years old , Mumbai +405 more
317,Sonalika Tractors,3.7,1.8k, 1k-5k Employees , 55 years old , Hoshiarpur +149 more,
318,DS Group,4.0,1.8k, 1k-5k Employees , Conglomerate , 95 years old , Noida +196 more
319,Motilal Oswal Financial Services,3.8,1.8k, 5k-10k Employees , Public , 37 years old , Mumbai +124 more
320,Future Retail,4.3,1.8k, 10k-50k Employees , Public , 37 years old , San Francisco +196 more
321,JMC Projects,4.1,1.8k, 1k-5k Employees , Public , 42 years old , Mumbai +117 more
322,Zomato,3.5,1.8k, 1k-5k Employees , Public , 16 years old , Gurgaon +169 more
323,Rivigo,3.8,1.8k, 1k-5k Employees , Indian Unicorn , 10 years old , Gurgaon +151 more
324,Delhi Public School,3.9,1.8k, 1k-5k Employees , Public , 26 years old , Greater Noida +233 more
325,Mahindra Logistics,4.0,1.8k, 1k-5k Employees , Public , 24 years old , Mumbai +121 more
326,Indus Towers,4.0,1.8k, 1k-5k Employees , Fortune India 500 , 17 years old , Gurgaon +154 more
327,PVR Cinemas,4.1,1.8k, 1k-5k Employees , Public , 27 years old , Gurgaon +103 more
328,Ninjacart,4.3,1.8k, 1k-5k Employees , Startup , 9 years old , Bangalore +93 more
329,Parle Agro,4.1,1.7k, 5k-10k Employees , 40 years old , Mumbai +188 more,
330,V-Mart,4.2,1.7k, 5k-10k Employees , Public , 22 years old , Gurgaon/Gurugram +240 more
331,Myntra,3.9,1.7k, 1k-5k Employees , 17 years old , Bangalore +97 more,
332,SRF,4.1,1.7k, 5k-10k Employees , Public , 54 years old , Gurgaon/Gurugram +45 more
333,Kalpataru Power Transmission,4.1,1.7k, 1k-5k Employees , Public , 43 years old , Mumbai +210 more
334,Emcure Pharmaceuticals,3.6,1.7k, 5k-10k Employees , Fortune India 500 , 43 years old , Pune +96 more
335,Datamatics Global Services,3.5,1.7k, 5k-10k Employees , Public , 49 years old , Mumbai +26 more
336,Pfizer,4.1,1.7k, 1k-5k Employees , Public , 20 years old , Chennai +110 more
337,Renault-Nissan,4.0,1.7k, 10k-50k Employees , 17 years old , Chennai +78 more,
338,Movate,3.3,1.7k, 1k-5k Employees , 28 years old , Plano +29 more,
339,Kansai Nerolac Paints,3.8,1.7k, 1k-5k Employees , Public , 104 years old , Mumbai +177 more
340,Tata Teleservices,3.9,1.7k, 201-500 Employees , Public , 28 years old , Mumbai +147 more
341,Fujitsu,3.8,1.7k, 5k-10k Employees , Forbes Global 2000 , 89 years old , Bangalore/Bengaluru +26 more
342,Mahindra Holidays & Resorts,3.4,1.7k, 5k-10k Employees , 28 years old , Mumbai +95 more,
343,Indian Railways,3.9,1.7k, 1 Lakh+ Employees , Central , 171 years old , Delhi/NCR +212 more
344,Raymond,4.2,1.7k, 5k-10k Employees , Public , 99 years old , New York +128 more
345,BHEL,4.0,1.7k, 10k-50k Employees , Fortune India 500 , 60 years old , Bangalore/Bengaluru +98 more
346,VVDN Technologies,3.5,1.7k, 5k-10k Employees , 17 years old , Gurgaon +32 more,
347,Reliance Trends,4.2,1.7k, 1 Lakh+ Employees , Conglomerate , 18 years old , Navi Mumbai +333 more
348,MSN Laboratories,3.6,1.6k, 10k-50k Employees , 21 years old , Hyderabad/Secunderabad +69 more,
349,KPMG Global Services,3.7,1.6k,,,,
350,Blinkit,3.8,1.6k, 1k-5k Employees , Indian Unicorn , 11 years old , Gurgaon +61 more
351,Cybage,3.9,1.6k, 5k-10k Employees , 29 years old , Pune +9 more,
352,ICICI Securities,3.7,1.6k, 1k-5k Employees , Public , 29 years old , Mumbai +121 more
353,Ambuja Cements,3.8,1.6k, 5k-10k Employees , Public , 41 years old , Mumbai +191 more
354,3i Infotech,3.6,1.6k, 1k-5k Employees , Public , 31 years old , Mumbai +107 more
355,Cadila Pharmaceuticals,3.3,1.6k, 5k-10k Employees , Public , 73 years old , Ahmedabad +112 more
356,JCB,3.9,1.6k, 1k-5k Employees , 79 years old , Rocester +90 more,
357,Info Edge,4.1,1.6k, 5k-10k Employees , Public , 29 years old , Noida +54 more
358,GlaxoSmithKline Pharmaceuticals,4.1,1.6k, 1k-5k Employees , Fortune India 500 , 194 years old , Brentford +178 more
359,Poonawalla Fincorp,3.8,1.6k, 1k-5k Employees , Public , 36 years old , Mumbai +249 more
